plant_as_reported,antiforaging_index,fungal_screen,antiforaging_dose,fungal_screen_dose,ant,fungus,source_id,original_url,locator,taxonomic_status
Ambrosia elatior,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Anemia tomentosa,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Angelphytum aspilioides,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Baccharis salicifolia,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lepechinia floribunda,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Solanum argentinum,33.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Ophryosporus charrua,33,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lorentziantus viscidus,29,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Grindelia pulchella,25,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Cynoglossum amabile,25,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Dolichandra cynanchoides,25,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Sida rhombifolia,25,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Senecio vira-vira,23,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Amphilophium carolinae,16.7,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Kageneckia lanceolata,16.7,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Artemisia annua,14,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Porlieria microphylla,6.7,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Melinis repens,6.6,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Baccharis flabellata,0,++,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Dalea elegans var. elegans,0,++,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Baccharis coridifolia,0,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
